projectKey,projectName,projectType,category,lastIssueUpdate,leadUserName,permissionScheme
BOT, Box Office Transparency,software,,2018-11-09,206407591,NBCU: Open Permission Scheme
DPEPOL, DPE - Post Olympics Project list,software,,2021-08-26,206428130,Default software scheme
IRF, Inventory Request Form,service_desk,DevOps,2020-03-30,206078834,JIRA Service Desk Permission Scheme for Project IRF
DATORAMA, NBC Media Datorama,software,,2020-06-15,206047846,NBCU: Open Permission Scheme
SAEREM, SAE Remediations & Actions,software,,2021-09-22,206586948,SAEREM: Permission Scheme
THREENET,3Net Migration PCF,software,,2018-10-20,206521287,NBCU: Open Permission Scheme
DEV406,406 Devops,software,,2021-06-16,206439616,Archived Projects
AN,[CAPGEMINI] Access NBCU,software,DevOps,2020-07-09,501954853,NBCU: +Stakeholders Permission Scheme
TESTUPT,[TEST] UPT Global Project,software,Universal Orlando: UPT *,(no issues found),703109744,UPT: Default Permission Scheme
ASX,Access Digital,software,,2019-11-25,206093788,NBCU: Open Permission Scheme
HEAP,Account Plan Application,software,Home Entertainment IT,2019-05-30,206047215,Default Permission Scheme
EMERTECH,ACOE Emerging Tech,software,,2020-05-06,206594068,NBCU: Open Permission Scheme
AP,ACoE PMO,software,,2019-03-20,206587334,NBCU: Open Permission Scheme
ADRSCH,AD + RESEARCH (ARCHIVED),software,GMO Projects Archive ,2021-02-16,206091082,Anvato Access & Default Developer scheme
ADAPI,Ad APIs,software,,2020-02-13,206555394,NBCU: Open Permission Scheme
ADCABENT,Ad Integration-Cable Entertainment,software,,2021-02-12,206093417,Default Permission Scheme
ADNBCD,Ad Integration–NBCD,software,,2021-09-22,206554484,Default Permission Scheme
APOD,Ad Platforms & Ops Dispatch,service_desk,,2021-09-22,206479336,Jira Service Desk Permission Scheme for Project APOSD
ADSLCLOPS,Ad Sales - Cloud Operations ,service_desk,,2021-09-15,501911051,Jira Service Desk Permission Scheme for Project ADSLCLOPS
ACM,Ad Sales Custom Apps Cloud Migration,software,,2021-09-21,206571252,HUB/DINT Permission Scheme
ASID,Ad Sales Integration and Development,service_desk,VCT - Vendor Consolidation Template,2021-09-22,501879979,Jira Service Desk Permission Scheme for Project ASUAR
ASRS,Ad Sales Reporting Services (MicroStrategy),software,,2021-09-15,206420925,Default Permission Scheme
SUPPORT,Ad Sales Technology Support - vct,service_desk,VCT - Vendor Consolidation Template,2021-09-22,206079211,SUPPORT: Permission Scheme
ASNEDD,Ad Sales: NBC Entertainment Dashboard (Domo),software,,2019-02-26,206595238,NBCU: Open Permission Scheme
ASQOSD,Ad Sales: Quarterly One Sheet (Domo),software,,2019-04-02,206595238,NBCU: Open Permission Scheme
ADB,Address Book ,software,ZZZ- Archived,2018-10-12,206097300,Archived Projects
AIR,Ads Integration Registry,software,,2021-09-22,206650216,NBCU: Open Permission Scheme
BDTC,AdSales Cloud-Ops,software,,2021-07-29,206549689,NBCU: Open Permission Scheme
RTB,AdSmart Programmatic,software,,2020-09-22,206634868,NBCU: Open Permission Scheme
AMP,Advanced Media Processor,software,ZZZ- Archived,2017-12-15,206421111,Archived Projects
